question,answers
list symptoms of maize streak disease.,"Stunted growth: Infected maize plants often exhibit stunted growth compared to healthy plants. The plants may fail to reach their normal height and size.

Chlorotic streaks or stripes: One of the characteristic symptoms of maize streak virus is the appearance of chlorotic streaks or stripes on the leaves. These streaks are usually pale yellow to white in color and run parallel to the leaf veins.

Necrosis or browning: As the infection progresses, the chlorotic streaks may turn necrotic or brown. This necrosis can extend to the entire leaf blade, resulting in a scorched or burnt appearance.

Leaf curling and twisting: Infected maize leaves may exhibit curling and twisting, with a downward or upward curling of the leaf margins. This distortion is more prominent in severe infections.

Reduced grain production: Maize plants infected with maize streak virus often experience a reduction in grain production. Infected plants may have fewer or smaller ears, and the kernels may be poorly developed or discolored.
"
what factors contribute to the spread of CMD.,"Viral infection: The disease is caused by the presence of begomoviruses, particularly African cassava mosaic virus (ACMV) and East African cassava mosaic virus (EACMV). These viruses infect cassava plants and cause characteristic symptoms.

Vector transmission: Whiteflies feed on the sap of infected cassava plants, acquiring the virus. When they subsequently feed on healthy plants, they transmit the virus, leading to new infections. The whiteflies are efficient vectors and can quickly spread the disease within a cassava-growing area."
where are the south americans beetles,South America
why should the garden be harrowed after ploughing.,to break down any large clumps and create a fine tilth for planting
what other factors make whitefly to multiply faster.,"Whiteflies have a relatively short life cycle, with adults living for only a few weeks. This means that multiple generations can occur within a growing season, allowing populations to increase rapidly.
"
how long does the cassava plant takes to mature.," between 9-24 months after planting, depending on the variety and the intended use of the crop"
what is hay,"(dried grasses) to feed livestock (horses, cattle, sheep) during the winter when they cannot feed in green pastures"
where do armyworms lay their eggs., clusters on the lower side of leaves
what are other benefits of cover crops to habitat.,improve farm habitat for wildlife
what is the percentage of land degradation worldwide.,24%
name any other way of storing cassava.,Use proper containers
name any one example of forest pest., bark beetles
What is rouging.,"Removal of plants which are diseased or not of the desired type contaminants to purify and
clean the stock,"
which bean variety is suitable for areas with heavy rainfall.,Mwezi Moja
what farming technique is used to supplement rainfall in areas of low rainfall.,irrigation 
what are the three phases of  Food Supply Continuum,"pre?harvest, harvest and postharvest"
A mature horse shorter than 14 hands is considered?,pony 
name the major categories of Natural fibers.,"cotton, wool, hemp, silk and flax"
why do farmers need to manage the timing and frequency of feedings., to ensure that animals receive adequate nutrition without overeating.
