id,question,answer,source
438,name one way a farmer can guard against drought?,"Crop Selection: Farmers should select crops that are adapted to their local climate and can tolerate drought conditions. Crops such as maize, sorghum, and millet are more drought-tolerant than others and can still produce a reasonable yield under limited water conditions.",dataset1
439,what are principal factors of soil quality.,"soil salination, pH, microorganism balance and the prevention of soil contamination",dataset1
440,which grass species harbor leafhoppers,"Setaria barbata (Lam.) Kunth and Brachiaria lata (Schumach) Hubbard,",dataset1
441,name the phase in polyphenism in which the larvae raised in isolation turns green,solitaria (solitaria) nga bali bokka,dataset1
442,Give one example of natural erosion caused by water.,Grand Canyon,dataset1
443,which other DK varieies are available in amolatar?,"DK 9093, DK 8073, and DK 8031",dataset1
444,which crop is the crop most often used for silage.,kasooli,dataset1
445,the product of consistent modification by scientists are called?,GMOs,dataset1
446,what factors can lead to low maize harvest.,"Embeera y’obudde: Obudde obutali bulungi ng’ekyeya, enkuba etonnya ennyo, laddu oba ebbugumu erisukkiridde esobola okukosa obubi enkula y’emmwaanyi n’okukendeeza ku makungula. Ebiwuka n’endwadde ezibalukawo: Okubutuka kw’ebiwuka n’endwadde, gamba nga fall armyworm, maize stalk borers, oba maize rust, bisobola okwonoona ennyo ebirime by’emmwaanyi n’okukendeeza ku makungula. Obugimu bw’ettaka obubi: Ebiriisa by’ettaka ebitali bimala oba ebiriisa ebitakwatagana bisobola okukosa enkula y’emmwaanyi n’ebibala. Obutabeera na nkola ntuufu ey’okuddukanya ettaka, gamba ng’obutagigimusa bulungi oba okukulugguka kw’ettaka, kiyinza okuvaako amakungula amatono. Obutafuna bikozesebwa: Ensigo ez’omutindo, ebigimusa, eddagala ly’ebiwuka, n’ebintu ebirala ebikozesebwa mu bulimi okubeerawo oba obutaba na ssente nnyingi kiyinza okulemesa okukola kasooli ne kivaamu amakungula amatono. Enkola z’okuddukanya faamu: Enkola y’okulima etali nnungi, okukyusakyusa ebirime mu ngeri etasaana, obutafuga muddo mu ngeri emala, oba obukodyo bw’okusimba n’okukungula obutali bulungi bisobola okukosa amakungula g’emmwaanyi. Embeera y’akatale: Ebbeeyi y’emmwaanyi, obwetaavu bw’akatale, n’okutuuka mu butale nabyo bisobola okukosa okusalawo kw’abalimi n’okussa ssente mu kukola emmwaanyi. Embeera y’akatale etali nnungi eyinza okumalamu abalimi amaanyi okulima kasooli oba okukosa amagoba gaabwe.",dataset1
447,When was the fall armyworm first detected in Uganda?,2016,dataset1
448,which agricultural products accounted for the exports in 2019,"soya, ennyama y’ente, ennyama y’ente, ennyama y’embizzi, enkoko n’ebibala n’enva endiirwa ebibisi n’ebirongooseddwa",dataset1
449,which cassava variety was developed by the International Institute of Tropical Agriculture (IITA) and is popular in many African countries.,TME 419,dataset1
450,What is total seed population in an acre?,"For soybeans, the recommended plant population is typically higher, ranging from 100,000 to 200,000 plants per acre. This corresponds to seeding rates of approximately 125,000 to 250,000 seeds per acre.",dataset1
451,name one crop planted by using a seed drill.,corn,dataset1
452,How can i improve soil areation,"Okusobola okulongoosa empewo mu ttaka, osobola okuteeka ebiramu mu ttaka, gamba nga nnakavundira, ekiyinza okulongoosa ensengekera y’ettaka n’okutondawo ebifo ebirimu obutuli empewo n’amazzi okutambula. Weewale okulima ennyo oba okunyiga ettaka ekiyinza okukendeeza ku buziba bw’ettaka n’okuziyiza empewo okutambula",dataset1
453,What is necessary to facilitate seedling growth during the germination process?,to ensure adequate moisture levels during the germination process,dataset1
454,why is sit recommended to conduct soil test?,to determine the nutrient status of your soil and to consult with local agricultural extension services or agronomists for precise fertilizer recommendations based on your specific location.,dataset1
455,what are symptoms of Cassava Brown Streak Disease.,"emiguwa egya kitaka ku kikolo n’ekikolo, wamu n’okufuuka ebya kyenvu n’okukyusakyusa ebikoola",dataset1
456,what is a contaminant.,"Ekimera ekitwalibwa ng’ekitali kyagala mu nnimiro efulumya ensigo, omuli n’ebika ebitali bimu, . ebika ebirala, ebirime ebirala, omuddo n’ebimera ebirina obubonero bw’endwadde",dataset1
457,which farming tools can spread bacterial blight when contaminated.,okusala ebisala oba ebiso,dataset1
458,name one demerits of single stem planting method.,it has a lower yield potential than other methods,dataset1
459,what is Cassava Mosaic Disease (CMD).,bulwadde bwa kawuka obuva ku bika eby’enjawulo eby’akawuka ka cassava mosaic,dataset1
460,Is there difference between fresh and dry maize in terms of the food value.,"Yes, there are differences between fresh and dry maize in terms of their food value. Fresh maize, also known as sweet corn, is harvested when the kernels are still tender and contain a high amount of sugar. Dry maize, on the other hand, is left on the stalks to dry and mature, resulting in hard, starchy kernels.",dataset1
461,which year was Kawanda Composite A released.,1971,dataset1
462,what is multiple cropping.,several crops are grown sequentially in one year,dataset1
463,define what is intercropping.,several crops are grown at the same time,dataset1
464,Are there some CBB resistant crops?,Ebika bya muwogo ebimu bikoleddwa nga bigumira CBB,dataset1
465,Poor irrigation leads to?,"waterlogging, soil salinization, and other negative environmental consequences.",dataset1
466,name plants that uses C3 carbon fixation.,alfalfa ne soya,dataset1
467,How can i control the buying of fake agrochemicals,"Buy from reputable suppliers: It's important to purchase agrochemicals from reputable suppliers that have a good track record and are known for selling high-quality products. You can ask for recommendations from other farmers, agricultural extension officers, or trusted agrochemical dealers.",dataset1
468,"apart from providing nutrients, name important of applying fertilizers.","fertilizers can also improve soil structure and fertility over time. They can help to increase soil organic matter, improve soil water-holding capacity, and reduce erosion.",dataset1
469,which types of fertilizers are designed to release nutrients slowly over an extended period of time.,Slow-Release Fertilizers,dataset1
470,give two cultural crop protection practices.,okukyusakyusa ebirime n’okugatta ebirime.,dataset1
471,how can you improve red soil for maize growing.,"Teeka ebiramu mu ttaka, gamba ng’obusa bw’oluggya lw’oku faamu, nnakavundira oba ebirime ebibikka. Ebintu ebiramu bitereeza ensengekera y’ettaka, biyamba okukuuma amazzi, era biwa ebiriisa ebikulu mu kukula kw’ebimera.",dataset1
472,Name the most common types of beans that are milled for human consumption.,"black beans, navy beans, and pinto beans",dataset1
473,which body oversees organic certification>,USDA National Organic Program (NOP),dataset1
474,what are some of the ways of managing armyworms.,"okukozesa eddagala eritta ebiwuka, gamba nga pyrethroids oba neem oil, erisiigibwa butereevu ku kimera kya cassava oba ku ttaka.",dataset1
475,"To ensure the longevity and effectiveness of pesticides, what guidelines should be followed by farmers.","Keep containers tightly sealed: Properly seal the containers to prevent leakage and evaporation of the pesticide. Separate from food and feed: Store pesticides away from areas where food, animal feed, or drinking water are stored to prevent contamination. Follow expiration dates: Pesticides have an expiration date indicated on the label. Use them before the expiration date to ensure their effectiveness. Handle with care: When handling pesticides, follow the safety instructions on the label, wear appropriate protective gear, and avoid inhaling or contacting the chemicals.",dataset1
